,year,age,cohort,sex,race,educ,realinc,gunlaw,grass,wtssall
145,1972,49.0,1923.0,1,1,12.0,30458.0,2.0,,0.8893
146,1972,38.0,1934.0,1,1,12.0,43994.0,2.0,,0.8893
147,1972,74.0,1898.0,1,1,7.0,60915.0,1.0,,1.3339
148,1972,73.0,1899.0,2,2,5.0,13537.0,1.0,,0.8893
149,1972,57.0,1915.0,1,1,7.0,30458.0,2.0,,1.7786
150,1972,33.0,1939.0,2,1,12.0,30458.0,2.0,,0.8893
151,1972,69.0,1903.0,2,1,8.0,50763.0,1.0,,1.7786
152,1972,43.0,1929.0,1,1,10.0,37226.0,1.0,,0.8893
153,1972,33.0,1939.0,1,1,9.0,18951.0,1.0,,0.8893
154,1972,64.0,1908.0,1,1,12.0,43994.0,1.0,,0.8893
155,1972,60.0,1912.0,1,3,12.0,8122.0,2.0,,0.8893
156,1972,55.0,1917.0,2,2,11.0,8122.0,1.0,,0.8893
157,1972,45.0,1927.0,2,1,12.0,30458.0,1.0,,0.8893
158,1972,28.0,1944.0,1,1,9.0,24366.0,1.0,,1.3339
159,1972,68.0,1904.0,1,1,8.0,8122.0,1.0,,0.8893
160,1972,19.0,1953.0,1,1,12.0,,1.0,,2.2232
161,1972,54.0,1918.0,2,2,2.0,13537.0,1.0,,1.7786
162,1972,75.0,1897.0,2,1,8.0,2707.0,2.0,,0.4446
163,1972,40.0,1932.0,2,1,10.0,18951.0,1.0,,1.3339
164,1972,21.0,1951.0,2,1,15.0,,1.0,,3.5571
165,1972,67.0,1905.0,2,2,6.0,,1.0,,0.8893
166,1972,72.0,1900.0,1,1,7.0,2707.0,1.0,,0.8893
167,1972,84.0,1888.0,2,2,8.0,2707.0,1.0,,0.4446
168,1972,50.0,1922.0,2,1,8.0,18951.0,1.0,,0.4446
169,1972,22.0,1950.0,1,1,14.0,50763.0,1.0,,1.3339
170,1972,23.0,1949.0,1,1,16.0,13537.0,1.0,,0.8893
171,1972,79.0,1893.0,2,1,12.0,13537.0,1.0,,0.4446
172,1972,28.0,1944.0,2,1,16.0,37226.0,2.0,,0.8893
173,1972,58.0,1914.0,1,1,17.0,24366.0,2.0,,0.8893
174,1972,28.0,1944.0,2,1,15.0,,1.0,,0.8893
175,1972,20.0,1952.0,1,1,13.0,43994.0,2.0,,1.3339
176,1972,36.0,1936.0,2,1,12.0,37226.0,1.0,,0.8893
177,1972,61.0,1911.0,2,1,14.0,,1.0,,0.8893
178,1972,69.0,1903.0,2,1,10.0,18951.0,1.0,,0.8893
179,1972,21.0,1951.0,2,1,15.0,,1.0,,3.5571
180,1972,34.0,1938.0,2,1,11.0,30458.0,1.0,,0.8893
181,1972,63.0,1909.0,2,2,5.0,13537.0,1.0,,1.3339
182,1972,41.0,1931.0,2,1,13.0,74452.0,2.0,,0.8893
183,1972,60.0,1912.0,1,1,11.0,24366.0,1.0,,0.8893
184,1972,41.0,1931.0,2,1,8.0,18951.0,1.0,,0.8893
185,1972,28.0,1944.0,2,1,12.0,18951.0,2.0,,1.3339
